5,"Dedicated Server"
7,"Steam Client"
8,"winui2"
10,"Counter-Strike"
20,"Team Fortress Classic"
30,"Day of Defeat"
40,"Deathmatch Classic"
50,"Half-Life: Opposing Force"
60,"Ricochet"
70,"Half-Life"
80,"Counter-Strike: Condition Zero"
90,"Half-Life Dedicated Server"
92,"Codename Gordon"
100,"Counter-Strike: Condition Zero Deleted Scenes"
130,"Half-Life: Blue Shift"
150,"Counter-Strike Steamworks Beta"
205,"Source Dedicated Server"
210,"Source Dedicated Server"
211,"Source SDK"
215,"Source SDK Base 2006"
218,"Source SDK Base 2007"
219,"Half-Life 2: Demo"
220,"Half-Life 2"
240,"Counter-Strike: Source"
260,"Counter-Strike: Source Beta"
280,"Half-Life: Source"
300,"Day of Defeat: Source"
304,"Day of Defeat: Source Press Review"
310,"Source 2007 Dedicated Server"
320,"Half-Life 2: Deathmatch"
340,"Half-Life 2: Lost Coast"
360,"Half-Life Deathmatch: Source"
364,"HL1:MP Linux client"
380,"Half-Life 2: Episode One"
400,"Portal"
410,"Portal: First Slice"
420,"Half-Life 2: Episode Two"
440,"Team Fortress 2"
456,"Team Fortress 2 - Summer 2012 Community Bundle DLC"
457,"Team Fortress 2 - Summer 2012 Sale Bundle DLC"
458,"Team Fortress 2 - Summer 2011 DLC"
459,"Team Fortress 2 - Premium DLC"
480,"Spacewar"
500,"Left 4 Dead"
510,"Left 4 Dead Dedicated Server"
513,"Left 4 Dead Authoring Tools"
520,"Team Fortress 2 Beta"
530,"Left 4 Dead Demo"
540,"Left 4 Dead Demo Dedicated Server"
550,"Left 4 Dead 2"
560,"Left 4 Dead 2 Dedicated Server"
563,"Left 4 Dead 2 Authoring Tools"
564,"Left 4 Dead 2 Add-on Support"
565,"Left 4 Dead 2 Preorder DLC"
570,"Dota 2"
575,"Dota 2 - English Depot"
576,"Dota 2 - SteelSeries DLC "
581,"Dota 2 - Murrissey the Smeevil"
582,"Dota 2 - Lockjaw the Boxhound"
583,"Dota 2 - Drodo the Druffin"
584,"Dota 2 - Inflatable Donkey Courier"
585,"Dota 2 - Plush Donkey Courier"
586,"Dota 2 - International Axe"
590,"Left 4 Dead 2 Demo"
620,"Portal 2"
629,"Portal 2 Authoring Tools - Beta"
630,"Alien Swarm"
635,"Alien Swarm Dedicated Server"
640,"Alien Swarm - SDK"
644,"Portal 2 Publishing Tool"
650,"Portal 2 - Gamestop PS3 DLC"
651,"Portal 2 - Bot Paint Job DLC"
652,"Portal 2 - Bot Roll Cage DLC"
653,"Portal 2 - Bot Antenna Topper DLC"
654,"Portal 2 - Summer 2011 DLC"
659,"Portal 2 - Pre-order"
660,"Portal 2 Sixense MotionPack"
669,"Portal 2 - Sixense Motion Preorder"
730,"Counter-Strike: Global Offensive"
740,"Counter-Strike Global Offensive - Dedicated Server"
745,"Counter-Strike: Global Offensive - SDK"
753,"Steam"
754,"Steam Economy"
755,"Steam Achievements"
756,"Steam Big Picture"
760,"Steam Screenshots"
761,"Steam Cloud - Videos"
764,"Steam Cloud - User Logs"
765,"Greenlight"
767,"Steam Artwork"
852,"ValveTestApp852"
854,"ValveTestApp854"
900,"Zombie Movie"
901,"Day of Defeat: Prelude to Victory"
902,"Dangerous Waters Trailer"
903,"Darwinia Trailer"
904,"Half-Life 2 Trailer"
905,"Half-Life 2: Episode One Trailer"
906,"Rag Doll Kung Fu Trailer"
907,"Red Orchestra Trailer"
908,"Shadowgrounds Trailer"
909,"Sin Episodes: Emergence Trailer"
912,"Half-Life 2: Episode One Launch Teaser 1"
913,"Half-Life 2: Episode One Launch Teaser 2"
914,"Half-Life 2: Episode One Launch Teaser 3"
915,"Half-Life 2: Episode One Launch Teaser 4"
916,"Half-Life 2: Episode Two Trailer"
917,"Day of Defeat: Jagd Trailer"
918,"Day of Defeat: Colmar Trailer"
919,"Dark Messiah: Warrior"
920,"Dark Messiah: Assassin"
921,"Dark Messiah: Wizard"
922,"Portal Trailer"
923,"Team Fortress 2 Trailer"
924,"Red Orchestra Infantry Tutorial"
925,"Red Orchestra Vehicle Tutorial"
926,"Red Orchestra Lyes Krovy Trailer"
927,"GTI Racing Trailer"
928,"SourceForts Trailer"
929,"Uplink Trailer"
930,"Half-Life 2: Episode Two Trailer 2"
931,"Team Fortress 2 Trailer 2"
932,"Half-Life 2: Episode Two Gameplay Movie 1"
933,"Half-Life 2: Episode Two Gameplay Movie 2"
934,"Half-Life 2: Episode Two Gameplay Movie 3"
935,"Dark Messiah Gameplay Trailer"
936,"Half-Life 2: Episode Two Gameplay Movie 4"
937,"Half-Life 2: Episode Two Gameplay Movie 5"
938,"City Life Trailer"
939,"X3: Reunion Trailer"
940,"Dark Messiah Launch Trailer"
941,"Red Orchestra Fall Update Trailer"
942,"Heroes of Annihilated Empires Trailer"
943,"Prey Trailer"
944,"Left4Dead Teaser"
945,"X3: Reunion 2.0 Trailer"
946,"Gumboy: Crazy Adventures Trailer"
947,"Eets Trailer"
948,"Silverfall Trailer"
949,"Joint Task Force Trailer"
950,"Hitman: Blood Money Trailer"
951,"Just Cause Trailer"
953,"TrackMania United Trailer"
954,"Runaway, The Dream of The Turtle Trailer"
955,"Battlestations: Midway Trailer"
956,"Project: Snowblind Trailer"
957,"Tomb Raider: Legend Trailer"
958,"Infernal Trailer"
959,"Infernal Trailer 1"
960,"Team Fortress 2: Meet the Heavy"
961,"Red Orchestra June 07 New Content Trailer"
962,"Tomb Raider: Anniversary Trailer"
963,"TrackMania United Webisode 1: Coppers"
964,"TrackMania United Webisode 2: Manialinks"
965,"TrackMania United Webisode 3: Maniazones"
966,"TrackMania United Webisode 4: Singleplayer"
967,"TrackMania United Webisode 5: Multiplayer"
968,"Sam & Max 101: Culture Shock Trailer"
969,"Sam & Max 102: Situation: Comedy Trailer"
970,"Sam & Max 103: The Mole, the Mob and the Meatball Trailer"
971,"Sam & Max 104: Abe Lincoln Must Die! Trailer"
972,"Sam & Max 105: Reality 2.0 Trailer"
973,"Sam & Max 106: Bright Side of the Moon Trailer"
974,"Lost Planet: Extreme Condition Trailer"
975,"Kane & Lynch Trailer 2"
976,"Kane & Lynch Trailer"
977,"ThreadSpace: Hyperbol Trailer"
978,"Titan Quest: Immortal Throne Trailer"
979,"S.T.A.L.K.E.R.: Shadow of Chernobyl Trailer"
980,"SpaceForce: Rogue Universe Trailer"
981,"Civilization IV: Beyond the Sword Trailer"
982,"Gish Trailer"
983,"Call of Juarez Trailer"
984,"Bioshock Trailer"
985,"Team Fortress 2: Meet The Soldier"
986,"Race07 Trailer"
987,"Team Fortress 2: Meet The Engineer"
988,"Kane & Lynch Trailer 3"
989,"Juiced 2 - Hot Import Nights Trailer"
990,"Enemy Territory: QUAKE Wars Trailer"
991,"Loki Trailer"
992,"Company of Heroes: Opposing Fronts"
994,"Team Fortress 2: Meet the Heavy (Russian)"
